,PLEC39~1,
Wavenumbers [1/cm],Intensity,
27.914,10.545564,
25.003,15.603737,
22.092,16.416764,
19.182,11.091531,
16.271,13.889492,
13.361,6.5708405,
10.450,-25.191879,
7.539,-142.50886,
4.629,-391.92179,
1.718,-560.00965,
-1.192,-439.40364,
-4.103,-302.4661,
-7.013,-156.50703,
-9.924,-2,
